model_feature,cicids2017_raw_header,historical_java_raw_header,historical_java_column_index_zero_based,mapping_type,unit,semantic_definition,direction_convention,aggregation_convention,conversion_required,conversion_formula,confidence,evidence,compatibility_status
flow_bytes_s,Flow Bytes/s,Flow Bytes/s,20,direct_historical_java_column,payload bytes,"Flow Bytes/s remains bytes/second as a unit, but its numerator semantics differ.",not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
flow_packets_s,Flow Packets/s,Flow Packets/s,21,direct_historical_java_column,packets/second,Do not scale this rate when converting the separate duration feature.,not directional,same numerator/rate except zero-duration handling,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
flow_iat_mean,Flow IAT Mean,Flow IAT Mean,22,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
flow_iat_std,Flow IAT Std,Flow IAT Std,23,direct_historical_java_column,microseconds (sample standard deviation),A plain seconds-to-microseconds multiplication does not reproduce the training aggregation convention.,not directional,Python ddof=0 versus Java SummaryStatistics sample standard deviation,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
flow_iat_max,Flow IAT Max,Flow IAT Max,24,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
flow_iat_min,Flow IAT Min,Flow IAT Min,25,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_iat_total,Fwd IAT Total,Fwd IAT Total,26,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_iat_mean,Fwd IAT Mean,Fwd IAT Mean,27,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_iat_std,Fwd IAT Std,Fwd IAT Std,28,direct_historical_java_column,microseconds (sample standard deviation),A plain seconds-to-microseconds multiplication does not reproduce the training aggregation convention.,not directional,Python ddof=0 versus Java SummaryStatistics sample standard deviation,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_iat_max,Fwd IAT Max,Fwd IAT Max,29,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_iat_min,Fwd IAT Min,Fwd IAT Min,30,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_iat_total,Bwd IAT Total,Bwd IAT Total,31,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_iat_mean,Bwd IAT Mean,Bwd IAT Mean,32,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_iat_std,Bwd IAT Std,Bwd IAT Std,33,direct_historical_java_column,microseconds (sample standard deviation),A plain seconds-to-microseconds multiplication does not reproduce the training aggregation convention.,not directional,Python ddof=0 versus Java SummaryStatistics sample standard deviation,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_iat_max,Bwd IAT Max,Bwd IAT Max,34,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_iat_min,Bwd IAT Min,Bwd IAT Min,35,direct_historical_java_column,microseconds,Apply only to this feature; per-second rates are audited independently.,not directional,same named total/mean/min/max over packet IATs; zero conventions retained,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_psh_flags,Fwd PSH Flags,Fwd PSH Flags,36,direct_historical_java_column,count,First observed packet defines forward direction in both implementations.,first-packet initiator is forward,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_psh_flags,Bwd PSH Flags,Bwd PSH Flags,37,direct_historical_java_column,count,First observed packet defines forward direction in both implementations.,first-packet initiator is forward,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_urg_flags,Fwd URG Flags,Fwd URG Flags,38,direct_historical_java_column,count,First observed packet defines forward direction in both implementations.,first-packet initiator is forward,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_urg_flags,Bwd URG Flags,Bwd URG Flags,39,direct_historical_java_column,count,First observed packet defines forward direction in both implementations.,first-packet initiator is forward,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_header_length,Fwd Header Length,Fwd Header Length,40,direct_historical_java_column,header bytes,"Observed values are compatible in common IPv4 cases, but TCP/options/packet parser parity is not proven.",not directional,directional sum,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_header_length,Bwd Header Length,Bwd Header Length,41,direct_historical_java_column,header bytes,"Observed values are compatible in common IPv4 cases, but TCP/options/packet parser parity is not proven.",not directional,directional sum,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_packets_s,Fwd Packets/s,Fwd Packets/s,42,direct_historical_java_column,packets/second,First observed packet defines forward direction in both implementations.,first-packet initiator is forward,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_packets_s,Bwd Packets/s,Bwd Packets/s,43,direct_historical_java_column,packets/second,First observed packet defines forward direction in both implementations.,first-packet initiator is forward,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
min_packet_length,Min Packet Length,Packet Length Min,44,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
max_packet_length,Max Packet Length,Packet Length Max,45,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
packet_length_mean,Packet Length Mean,Packet Length Mean,46,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
packet_length_std,Packet Length Std,Packet Length Std,47,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,population std/variance; Python ddof=0 versus Java sample convention,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
packet_length_variance,Packet Length Variance,Packet Length Variance,48,direct_historical_java_column,payload bytes squared,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,population std/variance; Python ddof=0 versus Java sample convention,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fin_flag_count,FIN Flag Count,FIN Flag Count,49,direct_historical_java_column,count,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,not directional,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
syn_flag_count,SYN Flag Count,SYN Flag Count,50,direct_historical_java_column,count,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,not directional,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
rst_flag_count,RST Flag Count,RST Flag Count,51,direct_historical_java_column,count,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,not directional,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
psh_flag_count,PSH Flag Count,PSH Flag Count,52,direct_historical_java_column,count,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,not directional,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
ack_flag_count,ACK Flag Count,ACK Flag Count,53,direct_historical_java_column,count,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,not directional,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
urg_flag_count,URG Flag Count,URG Flag Count,54,direct_historical_java_column,count,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,not directional,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
cwe_flag_count,CWE Flag Count,Fwd URG Flags,38,released_dataset_artifact,binary/count artifact identical to Fwd URG Flags,The policy does not claim genuine TCP CWR equivalence. Raw CICIDS2017 header says CWE; original Java intended CWR.,not directional,,NO,cwe_flag_count = fwd_urg_flags,HIGH,All-row audit established released CWE Flag Count equals Fwd URG Flags; Java CWR Flag Count is explicitly not substituted.,DATASET_ARTIFACT_REPRODUCTION
ece_flag_count,ECE Flag Count,ECE Flag Count,56,direct_historical_java_column,count,Repository alias audit plus Python Flow.get_data and historical BasicFlow named calculation,not directional,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
down_up_ratio,Down/Up Ratio,Down/Up Ratio,57,direct_historical_java_column,dimensionless integer-division packet ratio,"This is aggregation/arithmetic provenance, not a performance-motivated threshold.",not directional,integer quotient versus real-valued ratio,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
average_packet_size,Average Packet Size,Average Packet Size,58,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
avg_fwd_segment_size,Avg Fwd Segment Size,Fwd Segment Size Avg,59,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
avg_bwd_segment_size,Avg Bwd Segment Size,Bwd Segment Size Avg,60,direct_historical_java_column,payload bytes,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,not directional,named total/min/max/mean,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_header_length.1,Fwd Header Length,Fwd Header Length,40,released_duplicate_column_artifact,bytes (duplicate of Fwd Header Length),No second independent extractor measurement exists.,not directional,,NO,fwd_header_length.1 = fwd_header_length,HIGH,Released CICIDS2017 repeats Fwd Header Length with identical values; current Java schema omits that duplicate.,DATASET_ARTIFACT_REPRODUCTION
fwd_avg_bytes_bulk,Fwd Avg Bytes/Bulk,Fwd Bytes/Bulk Avg,61,direct_historical_java_column,bytes/bulk,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",not directional,qualifying directional bulk averages/rate; exact parity unverified,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_avg_packets_bulk,Fwd Avg Packets/Bulk,Fwd Packet/Bulk Avg,62,direct_historical_java_column,packets/bulk,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",not directional,qualifying directional bulk averages/rate; exact parity unverified,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
fwd_avg_bulk_rate,Fwd Avg Bulk Rate,Fwd Bulk Rate Avg,63,direct_historical_java_column,bytes/second during qualifying bulks,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",not directional,qualifying directional bulk averages/rate; exact parity unverified,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_avg_bytes_bulk,Bwd Avg Bytes/Bulk,Bwd Bytes/Bulk Avg,64,direct_historical_java_column,bytes/bulk,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",not directional,qualifying directional bulk averages/rate; exact parity unverified,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_avg_packets_bulk,Bwd Avg Packets/Bulk,Bwd Packet/Bulk Avg,65,direct_historical_java_column,packets/bulk,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",not directional,qualifying directional bulk averages/rate; exact parity unverified,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
bwd_avg_bulk_rate,Bwd Avg Bulk Rate,Bwd Bulk Rate Avg,66,direct_historical_java_column,bytes/second during qualifying bulks,"Constant training values prevent empirical validation of thresholds, direction switching, and bulk state aggregation.",not directional,qualifying directional bulk averages/rate; exact parity unverified,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
subflow_fwd_packets,Subflow Fwd Packets,Subflow Fwd Packets,67,direct_historical_java_column,packets per subflow,Equality on single-subflow flows does not establish semantic equivalence.,not directional,Python whole-flow duplicate versus Java average per detected subflow,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
subflow_fwd_bytes,Subflow Fwd Bytes,Subflow Fwd Bytes,68,direct_historical_java_column,payload bytes per subflow,Equality on single-subflow flows does not establish semantic equivalence.,not directional,Python whole-flow duplicate versus Java average per detected subflow,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
subflow_bwd_packets,Subflow Bwd Packets,Subflow Bwd Packets,69,direct_historical_java_column,packets per subflow,Equality on single-subflow flows does not establish semantic equivalence.,not directional,Python whole-flow duplicate versus Java average per detected subflow,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
subflow_bwd_bytes,Subflow Bwd Bytes,Subflow Bwd Bytes,70,direct_historical_java_column,payload bytes per subflow,Equality on single-subflow flows does not establish semantic equivalence.,not directional,Python whole-flow duplicate versus Java average per detected subflow,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
init_win_bytes_forward,Init_Win_bytes_forward,FWD Init Win Bytes,71,direct_historical_java_column,TCP advertised window field (bytes),"Unit matches, but forward selection/update convention is not fully identical.",first-packet forward/reverse,packet selection convention differs,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
init_win_bytes_backward,Init_Win_bytes_backward,Bwd Init Win Bytes,72,direct_historical_java_column,TCP advertised window field (bytes),"Unit matches, but backward selection/update convention is not fully identical.",first-packet forward/reverse,packet selection convention differs,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
act_data_pkt_fwd,act_data_pkt_fwd,Fwd Act Data Pkts,73,direct_historical_java_column,count,First observed packet defines forward direction in both implementations.,first-packet initiator is forward,packet count / direct field / per-second directional count as named,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
min_seg_size_forward,min_seg_size_forward,Fwd Seg Size Min,74,direct_historical_java_column,header bytes,"Observed values are compatible in common IPv4 cases, but TCP/options/packet parser parity is not proven.",not directional,forward minimum,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
active_mean,Active Mean,Active Mean,75,direct_historical_java_column,microseconds,Experiment C active/idle values are all zero. Multiplying zero cannot reconstruct missing active/idle events.,not directional,event construction differs; std also uses population versus sample convention,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
active_std,Active Std,Active Std,76,direct_historical_java_column,microseconds,Experiment C active/idle values are all zero. Multiplying zero cannot reconstruct missing active/idle events.,not directional,event construction differs; std also uses population versus sample convention,NO,identity,MEDIUM_HIGH,Direct ordered Java FlowFeature column corresponding to the released CICIDS2017 header; reviewed Java source is the prior semantics reference. Exact V3 binary identity remains unproven.,EXACT
