model_feature,model_feature_index,cicids2017_released_header,cicids2017_column_index_zero_based,v3_raw_header,v3_raw_index_zero_based,v3_source_class,v3_source_method,semantic_definition,units,directional_convention,payload_packet_length_convention,aggregation_convention,standard_deviation_convention,zero_empty_flow_behavior,direct_mapping_possible,transformation_required,transformation_formula,evidence,confidence,compatibility_status
bwd_packet_length_max,10,Bwd Packet Length Max,10,Bwd Pkt Len Max,16,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_packet_length_min,11, Bwd Packet Length Min,11,Bwd Pkt Len Min,17,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_packet_length_mean,12, Bwd Packet Length Mean,12,Bwd Pkt Len Mean,18,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_packet_length_std,13, Bwd Packet Length Std,13,Bwd Pkt Len Std,19,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Apache Commons Math SummaryStatistics sample standard deviation; zero emitted for insufficient directional samples where guarded,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
flow_bytes_s,14,Flow Bytes/s,14,Flow Byts/s,20,BasicFlow.java,duration-scaled rate getters / dumpFlowBasedFeaturesEx,"Flow Bytes/s remains bytes/second as a unit, but its numerator semantics differ.",payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
flow_packets_s,15, Flow Packets/s,15,Flow Pkts/s,21,BasicFlow.java,duration-scaled rate getters / dumpFlowBasedFeaturesEx,Do not scale this rate when converting the separate duration feature.,packets/second,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same numerator/rate except zero-duration handling,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
flow_iat_mean,16, Flow IAT Mean,16,Flow IAT Mean,22,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
flow_iat_std,17, Flow IAT Std,17,Flow IAT Std,23,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,A plain seconds-to-microseconds multiplication does not reproduce the training aggregation convention.,microseconds (sample standard deviation),not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Apache Commons Math SummaryStatistics sample standard deviation; zero emitted for insufficient directional samples where guarded,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
flow_iat_max,18, Flow IAT Max,18,Flow IAT Max,24,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
flow_iat_min,19, Flow IAT Min,19,Flow IAT Min,25,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_iat_total,20,Fwd IAT Total,20,Fwd IAT Tot,26,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_iat_mean,21, Fwd IAT Mean,21,Fwd IAT Mean,27,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_iat_std,22, Fwd IAT Std,22,Fwd IAT Std,28,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,A plain seconds-to-microseconds multiplication does not reproduce the training aggregation convention.,microseconds (sample standard deviation),not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Apache Commons Math SummaryStatistics sample standard deviation; zero emitted for insufficient directional samples where guarded,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_iat_max,23, Fwd IAT Max,23,Fwd IAT Max,29,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_iat_min,24, Fwd IAT Min,24,Fwd IAT Min,30,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_iat_total,25,Bwd IAT Total,25,Bwd IAT Tot,31,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_iat_mean,26, Bwd IAT Mean,26,Bwd IAT Mean,32,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_iat_std,27, Bwd IAT Std,27,Bwd IAT Std,33,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,A plain seconds-to-microseconds multiplication does not reproduce the training aggregation convention.,microseconds (sample standard deviation),not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,Apache Commons Math SummaryStatistics sample standard deviation; zero emitted for insufficient directional samples where guarded,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_iat_max,28, Bwd IAT Max,28,Bwd IAT Max,34,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_iat_min,29, Bwd IAT Min,29,Bwd IAT Min,35,BasicFlow.java,SummaryStatistics IAT accumulators / dumpFlowBasedFeaturesEx,Apply only to this feature; per-second rates are audited independently.,microseconds,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,same named total/mean/min/max over packet IATs; zero conventions retained,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_psh_flags,30,Fwd PSH Flags,30,Fwd PSH Flags,36,BasicFlow.java,directional counters in firstPacket/addPacket,First observed packet defines forward direction in both implementations.,count,first-packet initiator is forward,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_psh_flags,31, Bwd PSH Flags,31,Bwd PSH Flags,37,BasicFlow.java,directional counters in firstPacket/addPacket,First observed packet defines forward direction in both implementations.,count,first-packet initiator is forward,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_urg_flags,32, Fwd URG Flags,32,Fwd URG Flags,38,BasicFlow.java,directional counters in firstPacket/addPacket,First observed packet defines forward direction in both implementations.,count,first-packet initiator is forward,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_urg_flags,33, Bwd URG Flags,33,Bwd URG Flags,39,BasicFlow.java,directional counters in firstPacket/addPacket,First observed packet defines forward direction in both implementations.,count,first-packet initiator is forward,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_header_length,34, Fwd Header Length,34,Fwd Header Len,40,BasicFlow.java + BasicPacketInfo.java,fHeaderBytes/bHeaderBytes accumulated from getHeaderBytes,"Observed values are compatible in common IPv4 cases, but TCP/options/packet parser parity is not proven.",header bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,directional sum,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_header_length,35, Bwd Header Length,35,Bwd Header Len,41,BasicFlow.java + BasicPacketInfo.java,fHeaderBytes/bHeaderBytes accumulated from getHeaderBytes,"Observed values are compatible in common IPv4 cases, but TCP/options/packet parser parity is not proven.",header bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,directional sum,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
fwd_packets_s,36,Fwd Packets/s,36,Fwd Pkts/s,42,BasicFlow.java,duration-scaled rate getters / dumpFlowBasedFeaturesEx,First observed packet defines forward direction in both implementations.,packets/second,first-packet initiator is forward,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
bwd_packets_s,37, Bwd Packets/s,37,Bwd Pkts/s,43,BasicFlow.java,duration-scaled rate getters / dumpFlowBasedFeaturesEx,First observed packet defines forward direction in both implementations.,packets/second,first-packet initiator is forward,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,packet count / direct field / per-second directional count as named,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
min_packet_length,38, Min Packet Length,38,Pkt Len Min,44,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
max_packet_length,39, Max Packet Length,39,Pkt Len Max,45,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
packet_length_mean,40, Packet Length Mean,40,Pkt Len Mean,46,BasicFlow.java + BasicPacketInfo.java,payloadBytes statistics / packet header minimum where named,Header bytes included by the Python extractor cannot be removed exactly from this aggregate alone.,payload bytes,not directional,jNetPcap BasicPacketInfo payloadBytes for packet-length/byte aggregates; headerBytes only for named header/min-segment fields,named total/min/max/mean,"Apache Commons Math sample standard deviation (n-1); SummaryStatistics returns NaN at n=0 and 0 at n=1, while several output branches explicitly emit zero for insufficient directional samples",zero for empty/insufficient aggregate where guarded,True,NO,identity,Pinned V3 source method and ordered raw output; released header/order and full distribution audit.,MEDIUM_HIGH,EXACT
