artifact,path,exists,sha256,role,relevance,reproducibility_status
dataset_preparation_historical,git:4ed28d2:src/preprocessing/dataset.py,true,7f8b35071ee9b9181cc14f2716e4d139f320f555abe5e4e5200fa0ed631fa1b2,training-era preparation recipe,critical,available in local Git
data_loading_current,src/data/loading.py,true,04a2dfe872b9cba3b921eb537d93413b6310f55cac01067962336d6e9cd9ebc9,CSV ordering and concatenation,critical,source drift adds excluded provenance column
data_loading_historical,git:4ed28d2:src/data/loading.py,true,3b4bc1deb0352c3138fec566e4d4df1e8583343e20c274dcfabf782f9929e504,training-era CSV loader,critical,available in local Git
label_mapping,src/preprocessing/labels.py,true,912465340d4a1e95ff566bbbca5bf05d690a7ac2a73f4dc5dccb4b5c8c78c2ff,class inclusion and mapping,critical,present
hashing_source,src/common/hashing.py,true,a0bf62f7643cd40b1da6299b61b759ad242c6c5d6808c8214925461a2f31284d,ordered dataset identity algorithm,critical,present; path spelling is identity-sensitive
inference_source,src/inference/predictor.py,true,0fde30d94c36ac6e19c38d7764ab698ad1dab18734df1c63c338105ad9be5d90,active model validation contract,medium,present
selection_source,src/evaluation/compare_models.py,true,29cc9d4f190c74a462f4ca8d3da78dfa735c5949a93fec6bdc23e81213d8abc1,publication and selection logic,high,present
leakage_config,config/leakage_columns.json,true,1966b5260426b89b0a1d7011e5744738319657c2f0cc07da330ce9904e44f94c,feature exclusion configuration,high,present
ddos_csv,data/raw/cicids2017/Friday-WorkingHours-Afternoon-DDos.pcap_ISCX.csv,true,6ff1580f5f81c0ae28a26f7631721018577f5f7c5e0feac28b795fcfe7b411ee,ordered raw input 1,critical,exact recorded size and hash
portscan_csv,data/raw/cicids2017/Friday-WorkingHours-Afternoon-PortScan.pcap_ISCX.csv,true,ca1824c51bfbb7b3c72290a11be04366ba8815878c6a1cc5c44cb1cee269e99b,ordered raw input 2,critical,exact recorded size and hash
friday_morning_csv,data/raw/cicids2017/Friday-WorkingHours-Morning.pcap_ISCX.csv,true,53a41c24d570ea83b7ac55b2e94df94e7a8216aeb80a2af0246b6bc8bb543000,ordered raw input 3,critical,exact recorded size and hash
monday_csv,data/raw/cicids2017/Monday-WorkingHours.pcap_ISCX.csv,true,852c4beb34eda186f32561fa79df7a0747e92e1a6535b01270820dd9ffe17f34,ordered raw input 4,critical,exact recorded size and hash
thursday_infiltration_csv,data/raw/cicids2017/Thursday-WorkingHours-Afternoon-Infilteration.pcap_ISCX.csv,true,6bcda3857c2504676034e3ea57762d38393cc734cb377a726bd5cb153961b1b5,ordered raw input 5,critical,exact recorded size and hash
thursday_webattacks_csv,data/raw/cicids2017/Thursday-WorkingHours-Morning-WebAttacks.pcap_ISCX.csv,true,d67066211fb1689c78406f1506f4c44704ecb92088353d5c96d96d6474eb819d,ordered raw input 6,critical,exact recorded size and hash
tuesday_csv,data/raw/cicids2017/Tuesday-WorkingHours.pcap_ISCX.csv,true,52b8692ae8c7d2ed04671fe2b98335693c0a92c7ab157d8c8b534d6523080851,ordered raw input 7,critical,exact recorded size and hash
wednesday_csv,data/raw/cicids2017/Wednesday-workingHours.pcap_ISCX.csv,true,893c27dc968bf7a8adef1689f90be55ca4a4dc3088fb63d6ff247ac56856df2a,ordered raw input 8,critical,exact recorded size and hash
saved_train_indices,data/processed or reports,false,,direct split evidence,critical,missing
saved_test_indices,data/processed or reports,false,,direct holdout evidence,critical,missing
prepared_train_partition,data/processed,false,,direct prepared training data,high,missing
prepared_test_partition,data/processed,false,,direct prepared holdout data,critical,missing
holdout_row_manifest,reports/metrics,false,,stable row-level holdout identity,critical,missing
failed_holdout_diagnostic,reports/metrics/rf_v1_cicids2017_holdout_evaluation.json,true,b1f273fae0e1cb18cfd066d72925f09baa8337bb99b701790d219ff4e4fcb1d0,prior fail-closed result,high,false negative caused by relative versus absolute path strings
holdout_evaluator,scripts/evaluate_rf_v1_cicids2017_holdout.py,true,1e886bf90998f90ad0da8a4c64bd03c5bd574b0f3bdcb3b038a101bafa322e64,reconstruction evaluator,high,identity comparison bug identified; not modified
