feature,session_11,historical_ddos,absolute_median_difference,pooled_standardized_median_difference,robust_median_distance
total_backward_packets,"{""min"": 0.0, ""q1"": 0.0, ""median"": 1.0, ""mean"": 2.039900249376559, ""q3"": 4.0, ""max"": 5.0, ""standard_deviation"": 1.9795216234491628}","{""min"": 1.0, ""q1"": 1.0, ""median"": 5.0, ""mean"": 3.0100616682895165, ""q3"": 5.0, ""max"": 6.0, ""standard_deviation"": 2.0071857995357894}",4.0,2.006620138762782,4.0
subflow_bwd_packets,"{""min"": 0.0, ""q1"": 0.0, ""median"": 1.0, ""mean"": 2.039900249376559, ""q3"": 4.0, ""max"": 5.0, ""standard_deviation"": 1.9795216234491628}","{""min"": 1.0, ""q1"": 1.0, ""median"": 5.0, ""mean"": 3.0100616682895165, ""q3"": 5.0, ""max"": 6.0, ""standard_deviation"": 2.0071857995357894}",4.0,2.006620138762782,4.0
flow_iat_min,"{""min"": 0.0, ""q1"": 0.0, ""median"": 5.0, ""mean"": 118.33915211970074, ""q3"": 106.75, ""max"": 2343.0, ""standard_deviation"": 295.1846535876099}","{""min"": 0.0, ""q1"": 1.0, ""median"": 1.0, ""mean"": 2.061668289516391, ""q3"": 2.0, ""max"": 35.0, ""standard_deviation"": 3.1347592041262926}",4.0,0.019162701129571268,4.0
avg_bwd_segment_size,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 27.36284289276808, ""q3"": 55.0, ""max"": 55.0, ""standard_deviation"": 27.461865801618853}","{""min"": 0.0, ""q1"": 0.0, ""median"": 35.0, ""mean"": 21.49691658552418, ""q3"": 42.0, ""max"": 45.0, ""standard_deviation"": 21.48262829384585}",35.0,1.4196374405723224,3.5
bwd_packet_length_mean,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 27.36284289276808, ""q3"": 55.0, ""max"": 55.0, ""standard_deviation"": 27.461865801618853}","{""min"": 0.0, ""q1"": 0.0, ""median"": 35.0, ""mean"": 21.49691658552418, ""q3"": 42.0, ""max"": 45.0, ""standard_deviation"": 21.48262829384585}",35.0,1.4196374405723224,3.5
fwd_packet_length_std,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 22.47275173634365, ""q3"": 45.61067199707031, ""max"": 45.61067199707031, ""standard_deviation"": 22.579604000322153}","{""min"": 0.0, ""q1"": 0.0, ""median"": 34.29286, ""mean"": 19.9046938876988, ""q3"": 37.56594, ""max"": 48.307053, ""standard_deviation"": 19.991522949515133}",34.29286,1.608116360699462,3.4357152539547244
packet_length_variance,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 2154.435571532594, ""q3"": 4359.41064453125, ""max"": 4359.41064453125, ""standard_deviation"": 2163.291271199458}","{""min"": 0.0, ""q1"": 0.0, ""median"": 2938.0898, ""mean"": 1771.102094677053, ""q3"": 3404.818, ""max"": 3821.0728, ""standard_deviation"": 1773.2761380946968}",2938.0898,1.485443982535738,3.3274590790536185
fwd_header_length,"{""min"": 0.0, ""q1"": 64.0, ""median"": 64.0, ""mean"": 84.14962593516209, ""q3"": 104.0, ""max"": 200.0, ""standard_deviation"": 24.681492783100115}","{""min"": 32.0, ""q1"": 32.0, ""median"": 168.0, ""mean"": 100.5309964297306, ""q3"": 168.0, ""max"": 336.0, ""standard_deviation"": 68.4508622929592}",104.0,2.02128613160668,3.25
fwd_header_length.1,"{""min"": 0.0, ""q1"": 64.0, ""median"": 64.0, ""mean"": 84.14962593516209, ""q3"": 104.0, ""max"": 200.0, ""standard_deviation"": 24.681492783100115}","{""min"": 32.0, ""q1"": 32.0, ""median"": 168.0, ""mean"": 100.5309964297306, ""q3"": 168.0, ""max"": 336.0, ""standard_deviation"": 68.4508622929592}",104.0,2.02128613160668,3.25
subflow_fwd_packets,"{""min"": 1.0, ""q1"": 2.0, ""median"": 2.0, ""mean"": 2.5074812967581046, ""q3"": 3.0, ""max"": 6.0, ""standard_deviation"": 0.6519490726143499}","{""min"": 1.0, ""q1"": 1.0, ""median"": 5.0, ""mean"": 3.015579357351509, ""q3"": 5.0, ""max"": 10.0, ""standard_deviation"": 2.0133686469985075}",3.0,2.0047522394432242,3.0
total_fwd_packets,"{""min"": 1.0, ""q1"": 2.0, ""median"": 2.0, ""mean"": 2.5074812967581046, ""q3"": 3.0, ""max"": 6.0, ""standard_deviation"": 0.6519490726143499}","{""min"": 1.0, ""q1"": 1.0, ""median"": 5.0, ""mean"": 3.015579357351509, ""q3"": 5.0, ""max"": 10.0, ""standard_deviation"": 2.0133686469985075}",3.0,2.0047522394432242,3.0
urg_flag_count,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.03740648379052369, ""q3"": 0.0, ""max"": 1.0, ""standard_deviation"": 0.18987414678763523}","{""min"": 0.0, ""q1"": 0.0, ""median"": 1.0, ""mean"": 0.5037325543654657, ""q3"": 1.0, ""max"": 1.0, ""standard_deviation"": 0.5000672278261327}",1.0,2.6438774872711566,2.6438774872711566
packet_length_mean,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 18.431422987483682, ""q3"": 37.375, ""max"": 37.375, ""standard_deviation"": 18.51639708128467}","{""min"": 0.0, ""q1"": 0.0, ""median"": 22.615385, ""mean"": 13.821969430379745, ""q3"": 26.727272, ""max"": 39.375, ""standard_deviation"": 13.8295898097697}",22.615385,1.3838907071145996,2.279070247881831
average_packet_size,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 21.035661832947387, ""q3"": 42.71428680419922, ""max"": 42.71428680419922, ""standard_deviation"": 21.14052688344783}","{""min"": 0.0, ""q1"": 0.0, ""median"": 24.5, ""mean"": 15.201159108730929, ""q3"": 29.4, ""max"": 42.0, ""standard_deviation"": 15.20982220595539}",24.5,1.330401719221666,2.2790697674418605
subflow_fwd_bytes,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 39.401496259351624, ""q3"": 79.0, ""max"": 79.0, ""standard_deviation"": 39.52452608890359}","{""min"": 0.0, ""q1"": 0.0, ""median"": 84.0, ""mean"": 44.74001947419669, ""q3"": 84.0, ""max"": 420.0, ""standard_deviation"": 45.44198083213002}",84.0,1.972471879141523,1.0
act_data_pkt_fwd,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.49875311720698257, ""q3"": 1.0, ""max"": 1.0, ""standard_deviation"": 0.5003104568215645}","{""min"": 0.0, ""q1"": 0.0, ""median"": 1.0, ""mean"": 0.5034079844206426, ""q3"": 1.0, ""max"": 5.0, ""standard_deviation"": 0.5084398776099496}",1.0,1.982586760060643,1.0
bwd_iat_max,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 520.9451371571072, ""q3"": 853.0, ""max"": 9508.0, ""standard_deviation"": 767.9929576524702}","{""min"": 0.0, ""q1"": 0.0, ""median"": 840.0, ""mean"": 11800.058098020123, ""q3"": 2348.0, ""max"": 1896419.0, ""standard_deviation"": 136705.8511728748}",840.0,0.008689610845624684,1.0
avg_fwd_segment_size,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 12.838321154254333, ""q3"": 26.33333396911621, ""max"": 26.33333396911621, ""standard_deviation"": 12.951223366392151}","{""min"": 0.0, ""q1"": 0.0, ""median"": 14.0, ""mean"": 8.90819771015904, ""q3"": 16.8, ""max"": 42.0, ""standard_deviation"": 8.965506424651322}",14.0,1.2569470054321146,1.0
bwd_iat_min,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 30.31920199501247, ""q3"": 0.0, ""max"": 953.0, ""standard_deviation"": 93.56472309904437}","{""min"": 0.0, ""q1"": 0.0, ""median"": 7.0, ""mean"": 9.166179811749432, ""q3"": 11.0, ""max"": 646.0, ""standard_deviation"": 21.00240335610647}",7.0,0.1032348537595576,1.0
bwd_iat_total,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 779.2294264339153, ""q3"": 1356.75, ""max"": 12173.0, ""standard_deviation"": 1052.3900008265095}","{""min"": 0.0, ""q1"": 0.0, ""median"": 1152.0, ""mean"": 12143.240506329113, ""q3"": 2936.0, ""max"": 1899499.0, ""standard_deviation"": 137122.99013119}",1152.0,0.011880765167805644,1.0
fwd_packet_length_mean,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 12.838321154254333, ""q3"": 26.33333396911621, ""max"": 26.33333396911621, ""standard_deviation"": 12.951223366392151}","{""min"": 0.0, ""q1"": 0.0, ""median"": 14.0, ""mean"": 8.90819771015904, ""q3"": 16.8, ""max"": 42.0, ""standard_deviation"": 8.965506424651322}",14.0,1.2569470054321146,1.0
total_length_of_fwd_packets,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 39.401496259351624, ""q3"": 79.0, ""max"": 79.0, ""standard_deviation"": 39.52452608890359}","{""min"": 0.0, ""q1"": 0.0, ""median"": 84.0, ""mean"": 44.74001947419669, ""q3"": 84.0, ""max"": 420.0, ""standard_deviation"": 45.44198083213002}",84.0,1.972471879141523,1.0
fwd_iat_std,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 223.12801109763453, ""q3"": 427.0924987792969, ""max"": 5792.09521484375, ""standard_deviation"": 342.71886704479283}","{""min"": 0.0, ""q1"": 0.0, ""median"": 410.4448, ""mean"": 6012.932743992212, ""q3"": 1154.1385, ""max"": 847822.06, ""standard_deviation"": 63215.34621221054}",410.4448,0.009182075355223382,1.0
bwd_iat_std,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 257.50210698762737, ""q3"": 416.97879791259766, ""max"": 4735.3583984375, ""standard_deviation"": 390.3692391957058}","{""min"": 0.0, ""q1"": 0.0, ""median"": 370.7797, ""mean"": 5344.82242851996, ""q3"": 1109.4423, ""max"": 847760.6, ""standard_deviation"": 61467.98630958792}",370.7797,0.00853047476958158,1.0
bwd_iat_mean,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 257.90243147852414, ""q3"": 451.91666412353516, ""max"": 4057.666748046875, ""standard_deviation"": 342.4129239104549}","{""min"": 0.0, ""q1"": 0.0, ""median"": 288.0, ""mean"": 2544.7244725738396, ""q3"": 734.0, ""max"": 418061.25, ""standard_deviation"": 27804.38197662653}",288.0,0.014647425882587474,1.0
ack_flag_count,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.5, ""mean"": 0.5, ""q3"": 1.0, ""max"": 1.0, ""standard_deviation"": 0.5003120125108648}","{""min"": 0.0, ""q1"": 0.0, ""median"": 1.0, ""mean"": 0.5037325543654657, ""q3"": 1.0, ""max"": 1.0, ""standard_deviation"": 0.5000672278261327}",0.5,0.9996208735060034,0.9996208735060034
flow_iat_std,"{""min"": 0.0, ""q1"": 0.0, ""median"": 34.597686767578125, ""mean"": 134.25755147386965, ""q3"": 197.8364601135254, ""max"": 3367.072265625, ""standard_deviation"": 241.15727995922995}","{""min"": 0.0, ""q1"": 0.0, ""median"": 304.05664, ""mean"": 4212.261233674132, ""q3"": 789.49994, ""max"": 571698.44, ""standard_deviation"": 43916.91394717501}",269.4589532324219,0.008676993138122835,0.8862130201544748
flow_iat_mean,"{""min"": 0.0, ""q1"": 76.75, ""median"": 235.3333282470703, ""mean"": 268.2663330116177, ""q3"": 332.2916717529297, ""max"": 2343.0, ""standard_deviation"": 298.3145499970848}","{""min"": 0.0, ""q1"": 2.0, ""median"": 141.88889, ""mean"": 1517.5759926257708, ""q3"": 327.55554, ""max"": 368113.5, ""standard_deviation"": 16218.279742930063}",93.44443824707031,0.008146859254118155,0.6653480308198031
bwd_packets_s,"{""min"": 0.0, ""q1"": 0.0, ""median"": 1380.9803466796875, ""mean"": 1310.3925241294346, ""q3"": 2461.1641845703125, ""max"": 5988.02392578125, ""standard_deviation"": 1338.9771425463998}","{""min"": 0.0, ""q1"": 1694.9153, ""median"": 3863.9875, ""mean"": 284935.74702558166, ""q3"": 500000.0, ""max"": 1000000.0, ""standard_deviation"": 368600.1294539611}",2483.0071533203127,0.009526527374268632,0.6431322228777163
flow_iat_max,"{""min"": 0.0, ""q1"": 76.75, ""median"": 384.5, ""mean"": 481.05610972568576, ""q3"": 625.5, ""max"": 9508.0, ""standard_deviation"": 669.486663499038}","{""min"": 0.0, ""q1"": 2.0, ""median"": 884.0, ""mean"": 13412.385913664395, ""q3"": 2351.0, ""max"": 1896416.0, ""standard_deviation"": 141955.5788473896}",499.5,0.00497614693490067,0.5656851642129105
fwd_iat_total,"{""min"": 0.0, ""q1"": 18.0, ""median"": 558.5, ""mean"": 632.2955112219452, ""q3"": 883.25, ""max"": 12964.0, ""standard_deviation"": 824.6598761402522}","{""min"": 0.0, ""q1"": 0.0, ""median"": 1098.0, ""mean"": 14639.822460240182, ""q3"": 2617.0, ""max"": 2676737.0, ""standard_deviation"": 153161.46128087025}",539.5,0.00498139121598848,0.4913479052823315
fwd_iat_max,"{""min"": 0.0, ""q1"": 18.0, ""median"": 519.5, ""mean"": 515.3478802992519, ""q3"": 746.75, ""max"": 10968.0, ""standard_deviation"": 636.3320727365972}","{""min"": 0.0, ""q1"": 0.0, ""median"": 841.0, ""mean"": 13415.672833495619, ""q3"": 2364.0, ""max"": 1896417.0, ""standard_deviation"": 141955.63841573274}",321.5,0.0032028674410025243,0.3822829964328181
fwd_packets_s,"{""min"": 0.0, ""q1"": 1731.3520202636719, ""median"": 2460.0250244140625, ""mean"": 99761.31033583947, ""q3"": 21052.630859375, ""max"": 2000000.0, ""standard_deviation"": 247061.75894298914}","{""min"": 0.0, ""q1"": 1694.9153, ""median"": 3863.9875, ""mean"": 284935.53044141777, ""q3"": 500000.0, ""max"": 1000000.0, ""standard_deviation"": 368600.2951055814}",1403.9624755859377,0.004474467570250192,0.36364541642279374
flow_packets_s,"{""min"": 602.2735595703125, ""q1"": 3767.9991455078125, ""median"": 5370.16455078125, ""mean"": 102090.05754485239, ""q3"": 21276.595703125, ""max"": 2000000.0, ""standard_deviation"": 247576.69435511043}","{""min"": 3.3956919, ""q1"": 3390.9804999999997, ""median"": 7824.726, ""mean"": 570241.4446625258, ""q3"": 1000000.0, ""max"": 2000000.0, ""standard_deviation"": 737296.7119277783}",2454.5614492187497,0.004463205435384146,0.31394868488250544
init_win_bytes_backward,"{""min"": -1.0, ""q1"": -1.0, ""median"": 255.0, ""mean"": 136.571072319202, ""q3"": 255.0, ""max"": 255.0, ""standard_deviation"": 127.71638976978434}","{""min"": 63.0, ""q1"": 64.0, ""median"": 64.0, ""mean"": 106.25478740668613, ""q3"": 64.0, ""max"": 65160.0, ""standard_deviation"": 1658.261236625119}",191.0,0.16240939365471743,0.16240939365471743
flow_duration,"{""min"": 0.0, ""q1"": 76.75, ""median"": 1095.0, ""mean"": 1065.2630922693268, ""q3"": 1720.5, ""max"": 13283.0, ""standard_deviation"": 1155.2217666736842}","{""min"": 0.0, ""q1"": 2.0, ""median"": 1277.0, ""mean"": 14807.178513469653, ""q3"": 2948.0, ""max"": 2678474.0, ""standard_deviation"": 153182.49079424568}",182.0,0.0016802151997995635,0.14274509803921567
fwd_iat_mean,"{""min"": 0.0, ""q1"": 18.0, ""median"": 301.5, ""mean"": 345.90407343457764, ""q3"": 471.0, ""max"": 4321.33349609375, ""standard_deviation"": 384.5055312047018}","{""min"": 0.0, ""q1"": 0.0, ""median"": 274.5, ""mean"": 3007.30623498864, ""q3"": 654.25, ""max"": 490818.0, ""standard_deviation"": 30892.81811566692}",27.0,0.0012359121394623846,0.09836065573770492
init_win_bytes_forward,"{""min"": -1.0, ""q1"": 251.0, ""median"": 253.0, ""mean"": 32165.403990024937, ""q3"": 64240.0, ""max"": 64240.0, ""standard_deviation"": 32014.67570631722}","{""min"": 63.0, ""q1"": 63.0, ""median"": 63.0, ""mean"": 31911.955858487505, ""q3"": 64240.0, ""max"": 64240.0, ""standard_deviation"": 32092.81448019772}",190.0,0.005927540083410012,0.005927540083410012
idle_max,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
idle_std,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
bwd_avg_bulk_rate,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
bwd_avg_bytes_bulk,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
idle_mean,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
min_seg_size_forward,"{""min"": 0.0, ""q1"": 32.0, ""median"": 32.0, ""mean"": 31.960099750623442, ""q3"": 32.0, ""max"": 32.0, ""standard_deviation"": 1.1299592824743179}","{""min"": 32.0, ""q1"": 32.0, ""median"": 32.0, ""mean"": 32.0, ""q3"": 32.0, ""max"": 32.0, ""standard_deviation"": 0.0}",0.0,0.0,0.0
active_mean,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
active_std,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
active_max,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
active_min,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
bwd_avg_packets_bulk,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
destination_port,"{""min"": 0.0, ""q1"": 8080.0, ""median"": 8080.0, ""mean"": 8112.9226932668325, ""q3"": 8080.0, ""max"": 42564.0, ""standard_deviation"": 1250.9987845956937}","{""min"": 8080.0, ""q1"": 8080.0, ""median"": 8080.0, ""mean"": 8080.0, ""q3"": 8080.0, ""max"": 8080.0, ""standard_deviation"": 0.0}",0.0,0.0,0.0
fwd_avg_bulk_rate,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
fwd_avg_packets_bulk,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
fwd_packet_length_min,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
bwd_packet_length_min,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
fwd_psh_flags,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
bwd_psh_flags,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
fwd_urg_flags,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
bwd_urg_flags,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
min_packet_length,"{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}","{""min"": 0.0, ""q1"": 0.0, ""median"": 0.0, ""mean"": 0.0, ""q3"": 0.0, ""max"": 0.0, ""standard_deviation"": 0.0}",0.0,,0.0
