candidate_row_index,ground_truth_class,origin_group,source_experiment,source_role,source_session_id,source_capture_id,source_row_index,source_row_identity,adapted_artifact,adapted_artifact_sha256,historical_source_csv,historical_source_csv_sha256,raw_extraction,raw_extraction_sha256,pcap,pcap_sha256,transformation
0,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,0,082f633dc693d9ffd991061d0766c9ced2856d71b395f8621d4b87e22410b5c9,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
11,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,30,ede2543e47fd1dfcb980acb3310411cc9ef9752db00138315409802174bf444d,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
12,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,33,2cf2c25b56337ce5b564c7531d25f684b7022e3227a59e8ef7656a0a69d89f93,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
13,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,39,4e274b28cd84fbec39130d26ef101f42530ffb7fb5a5b3929d192772eafc9127,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
14,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,42,33b2c700b39b1fb08666036dfe68297886230e9cf767d297ac0a94e2d56a2061,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
15,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,43,2bef44ea4f685ed051c78402adf29a042804b33cad8b6e4173c40522a1e446bb,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
16,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,48,27135c024c13584052868f6b54db51c28e73c7e3dd5e37de7b051f6815f46730,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
17,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,49,0440f8bb13722121ea0cb6e286476755d4f0235dea32b1f37adba89a88b489d1,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
18,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,50,46091e2115bca322b44ac69be2444e790e375e1e848b9b7d69a7b3d20fb88ee1,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
19,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,53,7b8f88e52985fff095ecafeecf541959a4357910e9f8c9e0f269b046bc4733c5,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
20,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,54,5e16d566b8a886ea6e119e8854c8e116ef5fc0067c8006774a70f2bafb6a0f30,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
21,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,55,b60cbf1c875f7fb871e7e11b0730157a11a273d10c4dce332c79e035df1b9340,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
22,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,56,7d3b9190c3adfaa9bc398611a976bfd3fa1f9e437f0bd06b3423311efbf5d9e7,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
23,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,60,708c8c6f63462d4a18d808e86b3e895b8dd081f4321f5bffbc5025a2a2e84ac8,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
24,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,61,efda39564146ac7d3fe001771e275d37f2aaef5f4c8e15eacb1547f44970e4b0,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
25,DDoS,FROZEN_EXPERIMENT_E_TRAINING_CANDIDATE,EXPERIMENT_D,adaptation,expd-adapt-ddos-session-01,expd-adapt-ddos-capture-01,62,3f6cef3c16a3172d16a44e13f50005a029c81f250f645e3b249e41321e6454ea,data/lab/experiment_e/datasets/experiment_e_training_candidate.csv,f716404391467b267cca2f989762c2d4740127a4e7dd11afe956e7e8940b2284,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,data/lab/experiment_d/adaptation/flows/cicflowmeter-v3/ddos/ddos-like-d2-s01.pcap_ISCX.csv,3c19e07d4365d1532d5ff72b0e97feab0bdc9883047d71c22763aa45043bc017,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,PRESERVED_IN_EXISTING_HISTORICAL_LINEAGE,pinned_cicflowmeter_v3_to_78_feature_adapter; no imputation
